frame,tipo_objeto,confianza,track_id,x1,y1,x2,y2,plate,plate_conf,mx1,my1,mx2,my2,plate_text
1,truck,0.9357239603996277,1,1402,52,1918,476,No,,,,,,
1,car,0.8438281416893005,2,1321,312,1398,371,No,,,,,,
1,car,0.491151362657547,3,1231,313,1279,343,No,,,,,,
1,car,0.3493143916130066,4,1281,318,1320,343,No,,,,,,
1,car,0.2969983220100403,5,1274,315,1312,343,No,,,,,,
2,truck,0.9328944087028503,1,1402,56,1918,471,Si,0.5798004269599915,482,354,516,370,"332
"
2,car,0.8148312568664551,2,1321,312,1397,371,No,,,,,,
2,car,0.4779466986656189,3,1231,313,1279,342,No,,,,,,
2,car,0.32680565118789673,4,1281,318,1320,343,No,,,,,,
2,car,0.28585293889045715,5,1273,315,1309,343,No,,,,,,
3,truck,0.9363408088684082,1,1395,63,1918,467,Si,0.42931416630744934,476,348,523,358,"PR a
"
3,car,0.818486213684082,2,1320,312,1395,371,No,,,,,,
3,car,0.44405239820480347,3,1230,313,1278,342,No,,,,,,
3,car,0.31584790349006653,4,1281,318,1320,343,No,,,,,,
3,car,0.27325236797332764,5,1273,315,1311,342,No,,,,,,
4,truck,0.899508535861969,1,1389,67,1918,466,Si,0.4562359154224396,463,340,528,357,"i
"
4,car,0.8380135893821716,2,1318,312,1395,371,Si,0.36053401231765747,68,0,76,19,"!
"
4,car,0.48594802618026733,3,1230,314,1278,342,No,,,,,,
4,car,0.28771573305130005,4,1281,317,1319,343,No,,,,,,
4,car,0.2764342427253723,5,1273,315,1311,343,No,,,,,,
5,truck,0.9297316670417786,1,1390,72,1918,464,Si,0.29292038083076477,447,335,512,349,"EE r
"
5,car,0.8167462348937988,2,1316,312,1394,371,No,,,,,,
5,car,0.4523715674877167,3,1232,314,1279,343,No,,,,,,
5,car,0.27060115337371826,4,1282,317,1319,343,No,,,,,,
5,car,0.2477400302886963,5,1274,315,1308,343,No,,,,,,
6,truck,0.9345744252204895,1,1392,76,1918,462,No,,,,,,
6,car,0.8074600696563721,2,1316,312,1392,370,No,,,,,,
6,car,0.4080612361431122,3,1232,313,1278,342,No,,,,,,
6,car,0.2457856684923172,4,1283,317,1319,343,No,,,,,,
6,car,0.2306669056415558,5,1274,315,1306,343,No,,,,,,
7,truck,0.9344170689582825,1,1391,79,1918,461,Si,0.27289628982543945,418,325,479,339,"PA
"
7,car,0.7958808541297913,2,1316,312,1390,370,No,,,,,,
7,car,0.45234736800193787,3,1232,314,1277,343,No,,,,,,
7,car,0.2480746954679489,4,1284,317,1320,343,No,,,,,,
7,car,0.24070709943771362,5,1273,315,1305,343,No,,,,,,
8,truck,0.9351821541786194,1,1388,84,1918,458,Si,0.7534379363059998,405,319,466,332,"I
"
8,car,0.7872523069381714,2,1314,312,1389,369,No,,,,,,
8,car,0.43596816062927246,3,1230,314,1275,343,No,,,,,,
8,car,0.2405988574028015,4,1284,317,1319,343,No,,,,,,
8,car,0.23361527919769287,5,1272,315,1308,343,No,,,,,,
9,truck,0.9371792674064636,1,1386,88,1918,457,Si,0.5426135063171387,395,312,454,325,"£
"
9,car,0.7815164923667908,2,1313,312,1387,368,No,,,,,,
9,car,0.42436203360557556,3,1229,315,1274,343,No,,,,,,
9,car,0.23192960023880005,4,1284,318,1319,343,No,,,,,,
9,car,0.22786016762256622,5,1272,316,1310,343,No,,,,,,
10,truck,0.9405054450035095,1,1383,92,1918,457,Si,0.47578170895576477,386,307,442,319,"ER
"
10,car,0.8050706386566162,2,1311,312,1386,368,No,,,,,,
10,car,0.4193561375141144,3,1229,315,1272,343,No,,,,,,
10,car,0.25838860869407654,4,1285,318,1319,345,No,,,,,,
10,car,0.2223239243030548,5,1272,316,1312,343,No,,,,,,
11,truck,0.9372485876083374,1,1382,96,1918,456,Si,0.38530975580215454,376,302,432,316,"ERP a
"
11,car,0.8014790415763855,2,1310,312,1385,367,No,,,,,,
11,car,0.40366384387016296,3,1228,315,1270,343,No,,,,,,
11,car,0.2605757415294647,4,1289,318,1319,346,No,,,,,,
11,car,0.21103288233280182,5,1271,316,1312,343,No,,,,,,
12,truck,0.9273743033409119,1,1382,97,1918,455,Si,0.3351488411426544,365,301,420,314,"E
"
12,car,0.7826132774353027,2,1309,312,1384,368,No,,,,,,
12,car,0.4092811942100525,3,1228,315,1269,343,No,,,,,,
12,car,0.2737501263618469,4,1293,318,1319,347,No,,,,,,
12,car,0.2136009931564331,5,1269,316,1311,343,No,,,,,,
13,truck,0.9315999746322632,1,1382,101,1915,453,Si,0.6103169918060303,353,294,408,307,"EE
"
13,car,0.7879984974861145,2,1309,312,1382,368,No,,,,,,
13,car,0.32233288884162903,3,1228,315,1264,342,No,,,,,,
13,car,0.2501201927661896,4,1295,318,1320,348,No,,,,,,
13,car,0.20177103579044342,5,1267,315,1310,343,No,,,,,,
14,truck,0.9279440641403198,1,1381,104,1903,451,Si,0.4831326901912689,344,291,395,302,"P -
"
14,car,0.7940630912780762,2,1309,312,1380,368,No,,,,,,
14,car,0.2780056297779083,3,1227,315,1262,341,No,,,,,,
14,car,0.26221761107444763,4,1294,317,1320,348,No,,,,,,
14,car,0.19109658896923065,5,1266,315,1312,343,No,,,,,,
15,truck,0.9187954664230347,1,1380,107,1889,451,Si,0.3842037618160248,333,287,386,299,"E
"
15,car,0.7781746983528137,2,1309,312,1378,368,No,,,,,,
15,car,0.3009037971496582,3,1227,315,1262,341,No,,,,,,
15,car,0.2270151674747467,4,1295,317,1320,346,No,,,,,,
15,car,0.15860211849212646,5,1267,314,1312,343,No,,,,,,
16,truck,0.9248064756393433,1,1378,111,1872,450,Si,0.5040570497512817,326,282,378,294,"Ea
"
16,car,0.7746444940567017,2,1308,312,1375,367,No,,,,,,
16,car,0.3065532445907593,3,1227,315,1262,341,No,,,,,,
16,car,0.25667062401771545,4,1294,317,1320,346,No,,,,,,
16,car,0.15710684657096863,5,1268,313,1314,343,No,,,,,,
17,truck,0.9198166131973267,1,1376,114,1866,449,Si,0.3247933089733124,317,278,370,289,"El 6.
"
17,car,0.7818207144737244,2,1308,313,1374,367,No,,,,,,
17,car,0.3171374201774597,3,1226,315,1262,341,No,,,,,,
17,car,0.1767960786819458,5,1269,313,1314,343,No,,,,,,
18,truck,0.909057080745697,1,1376,117,1858,450,Si,0.3509925603866577,308,274,359,285,"En7
"
18,car,0.7767423987388611,2,1308,313,1373,366,No,,,,,,
18,car,0.2719285190105438,3,1226,315,1262,341,No,,,,,,
18,car,0.1627153903245926,5,1269,313,1314,343,No,,,,,,
19,truck,0.9154195189476013,1,1375,121,1840,448,Si,0.5459474921226501,300,268,351,280,"I.
"
19,car,0.7697039246559143,2,1308,313,1372,367,No,,,,,,
19,car,0.275779128074646,3,1227,316,1261,341,No,,,,,,
19,car,0.14406557381153107,5,1269,312,1313,343,No,,,,,,
