text,original,tess,tess_match,smol,smol_match
0116GPD,True,01166PD,85.71428571428571,011,42.857142857142854
0116GPD,False,601166PD,14.285714285714285,011,42.857142857142854
0116GPD,False,0II66PD,57.14285714285714,011,42.857142857142854
0116GPD,False,4EEDERN,0.0,TERRA,0.0
0116GPD,False,1DPGN6110E,0.0,011,42.857142857142854
0116GPD,False,S1DE7TDE1QEERDKLMPQA,28.57142857142857,<the text,0.0
0116GPD,False,0116PD,57.14285714285714,011,42.857142857142854
0116GPD,False,S50L,0.0,'ONLY,0.0
0116GPD,False,T1,14.285714285714285,016,28.57142857142857
0116GPD,False,01166PDI,85.71428571428571,011,42.857142857142854
0116GPD,False,0116PD,57.14285714285714,011,42.857142857142854
0116HGV,True,RN118HGV,14.285714285714285,011,42.857142857142854
0116HGV,False,DHSY,0.0,None,0.0
0116HGV,False,NNXSWNSN,0.0,None,0.0
0116HGV,False,0118H6V,71.42857142857143,011,42.857142857142854
0116HGV,False,NNLNSLNLN1R,0.0,None,0.0
0116HGV,False,AQ11SH6V,14.285714285714285,None,0.0
0116HGV,False,Q118L6V,42.857142857142854,011,42.857142857142854
0116HGV,False,Q11SNGV,57.14285714285714,None,0.0
0116HGV,False,D,0.0,None,0.0
0116HGV,False,2XANXNSE,0.0,<the text,0.0
0116HGV,False,UE5183LSY,0.0,011,42.857142857142854
0290KWT,True,AQ23QKWT,0.0,029,42.857142857142854
0290KWT,False,L02Q0KWT,0.0,029,42.857142857142854
0290KWT,False,02QQKWT,71.42857142857143,029,42.857142857142854
0290KWT,False,TVKNQ3Q2,0.0,029,42.857142857142854
0290KWT,False,AQ23QKWT,0.0,029,42.857142857142854
0290KWT,False,Q2COKWT,57.14285714285714,029,42.857142857142854
0290KWT,False,NQ2Q0KT,14.285714285714285,02,28.57142857142857
0290KWT,False,NQ290KWT,0.0,029,42.857142857142854
0290KWT,False,14IQ2QCKYTW,0.0,029,42.857142857142854
0290KWT,False,023QKYT,57.14285714285714,02,28.57142857142857
0290KWT,False,Q230KJT1,57.14285714285714,02,28.57142857142857
0303BML,True,0303BML,100.0,030,42.857142857142854
0303BML,False,MEL,0.0,None,0.0
0303BML,False,I030EI,0.0,030,42.857142857142854
0303BML,False,T03N3EBML,0.0,03,28.57142857142857
0303BML,False,A03Q3BMLX,0.0,None,0.0
0303BML,False,A03Q3BMLA,0.0,030,42.857142857142854
0303BML,False,0303BML,100.0,03,28.57142857142857
0303BML,False,003038MLA,14.285714285714285,03,28.57142857142857
0303BML,False,ULL1030N3BML,0.0,03,28.57142857142857
0303BML,False,0303BML1,100.0,None,0.0
0303BML,False,LLB3Q3Q,14.285714285714285,None,0.0
0415JVS,True,None,0.0,041,42.857142857142854
0416MLX,True,LL1YVEYNV4NYDE1EELN11EE,14.285714285714285,04,28.57142857142857
0416MLX,False,1LDL1EI0LY0DNDCRYEODNENDE1D4EEA,0.0,04,28.57142857142857
0416MLX,False,TL2LLKE3EELRL16LEJ1E5EE4P1K7ENEENEEE4E17LE4EB4E363EV5ZELEE1ET1SEESSEOE4DY1EE1EEAXEKEEEED3EEL1HE4YLEAIEDEEDYLE5EESL7EEQA4AEEEE4EFKEEDDVEDEEE1EI74EAEAEEEENEN4EE4CEAN1EEEEV1EEEIE2EXEEOEH2EAE5DE1LAEQEE5VLEUNE7E2EKEEELEEID2EEEEEE3ENZAEEEEEESEES2E4EEY4YERLE1CL5E3,0.0,04,28.57142857142857
0416MLX,False,1LXNNTKE1DDE,0.0,04,28.57142857142857
0416MLX,False,LDLYEINNEL1,0.0,04,28.57142857142857
0416MLX,False,CAEJNEENDDKNNE1LDY4AEEEY4DSUE1IND13LE7E4DXDCKELDN1V1KEN1YANEDIKE1D4111NO0,0.0,041,42.857142857142854
0416MLX,False,E70DDLD44AEMEEIDENEEELCEL41K1N91EI94M,14.285714285714285,04,28.57142857142857
0416MLX,False,111E134D31LLSIODDEDEE1ND7EENAEI1LDDDSKDJEE14NEEDE01EELEEEP7EO4L1EY1AEL0I1E,14.285714285714285,04,28.57142857142857
0416MLX,False,LEDU1LYSYN0DVENPY,14.285714285714285,04,28.57142857142857
0416MLX,False,LD1E1YXVDYNKAAEN4C,28.57142857142857,04,28.57142857142857
0416MLX,False,AVPXXKEEEENADEEKEDEOEEE33SEEEEEAE4Q5HEEDE2DE14ELKENEEEED117EEEIYEMKDENEIESEELNA1SPEW1ESEA4E5LAG0EDLSVAE0EE1R4EJE9L3DEKLENE1DKDPYE1EEPEEEDELE5EL2D51ELEDEE212ED4LEDDDELNK4VAI1VEEL0EE0ENEDSNEEE1EEECAEAJD5EEEI6EEEDNELEKL4SEEEVN34DO2EA0DKA4EDEE4EE14EXNEJEZ1EDE04EEE0EPEEVEADDEDPEEEEELELEDDE1EID2EDEEEVEEEEEDEPEE5IE1EELNE41D5LNERDEEELEXELEN4DDES2EEEEJAENED3EDT4DNEL4DECDAE2EEDE,0.0,041,42.857142857142854
0463HVT,True,TVH36AE0,14.285714285714285,046,42.857142857142854
0476MNN,True,N07A0,14.285714285714285,047,42.857142857142854
0476MNN,False,1NDLX1NPINUN,14.285714285714285,047,42.857142857142854
0476MNN,False,1E0L71,0.0,04,28.57142857142857
0476MNN,False,PE0EEEAN,0.0,COLORB,0.0
0476MNN,False,AA0Y,0.0,047,42.857142857142854
0476MNN,False,WRH7UNN04,28.57142857142857,04,28.57142857142857
0476MNN,False,WRH7UNN04,28.57142857142857,04,28.57142857142857
0476MNN,False,LNNUL70E,0.0,04,28.57142857142857
0476MNN,False,5SEAP37X,0.0,None,0.0
0481KHY,True,0481KHY,100.0,048,42.857142857142854
0524MHT,True,AE0524MHTN1,0.0,052,42.857142857142854
0526HNF,True,None,0.0,052,42.857142857142854
0558GZS,True,41,0.0,053,28.57142857142857
0576MSH,True,HS7O,14.285714285714285,05,28.57142857142857
0576MSH,False,HS,0.0,057,42.857142857142854
0576MSH,False,HS7O,14.285714285714285,05,28.57142857142857
0576MSH,False,HS7O,14.285714285714285,05,28.57142857142857
0576MSH,False,HS7O,14.285714285714285,05,28.57142857142857
0576MSH,False,RS7J,14.285714285714285,05,28.57142857142857
0576MSH,False,HS7O,14.285714285714285,057,42.857142857142854
0576MSH,False,IHS7O,0.0,05,28.57142857142857
0576MSH,False,1HS7IOI,0.0,057,42.857142857142854
0576MSH,False,17O,0.0,057,42.857142857142854
0576MSH,False,HS7O,14.285714285714285,057,42.857142857142854
0624LXM,True,LSL1N,0.0,062,42.857142857142854
0624LXM,False,P4VEEE0ELDEEDYDY,0.0,062,42.857142857142854
0624LXM,False,A,0.0,06,28.57142857142857
0624LXM,False,4AL,0.0,062,42.857142857142854
0624LXM,False,K4L,0.0,06,28.57142857142857
0624LXM,False,None,0.0,06,28.57142857142857
0624LXM,False,DLVPL,14.285714285714285,062,42.857142857142854
0624LXM,False,DTALLS4D,14.285714285714285,None,0.0
0624LXM,False,AL6,0.0,062,42.857142857142854
0624LXM,False,IEE5KESDE10EDEEEEEEE33EENENE35EEIEEE3D4EEPKA4E5E4EDNKD1EOGEDEEDE48E0DIENE33EA4NK5ELEE1DQ4AEEE1EYEEEQ4E5AE1EEEJDNJ3EE4EKEEEE4HI1D2E3ITE82EEIEENLEEJER4N,0.0,062,42.857142857142854
0624LXM,False,DLLL1CD0A,0.0,062,42.857142857142854
0842GLN,True,8A2GLN,0.0,084,42.857142857142854
0842GLN,False,None,0.0,084,42.857142857142854
0842GLN,False,8L2GLN0,0.0,<the text>,0.0
0842GLN,False,842GLN,0.0,084,42.857142857142854
0842GLN,False,NG92YLK,28.57142857142857,08,28.57142857142857
0842GLN,False,AG84QN6LN,0.0,<the text>,0.0
0842GLN,False,8L2GLN,0.0,084,42.857142857142854
0842GLN,False,8A2LN,0.0,084,42.857142857142854
0842GLN,False,V8A2GLN,71.42857142857143,084,42.857142857142854
0842GLN,False,842GLN,0.0,084,42.857142857142854
0842GLN,False,8KA2GEN1,42.857142857142854,084,42.857142857142854
0880DRN,True,8KA2GEN1,42.857142857142854,084,42.857142857142854
