text,original,tess,tess_match,smol,smol_match
2377JZG,True,,0,237,42.857142857142854
2377JZG,False,,0,<the text>,0.0
2377JZG,False,,0,237,42.857142857142854
2377JZG,False,,0,<the text>,0.0
2377JZG,False,,0,<the text>,0.0
2377JZG,False,,0,None,0.0
2377JZG,False,,0,<the text>,0.0
2377JZG,False,,0,<the text>,0.0
2377JZG,False,,0,None,0.0
2377JZG,False,,0,23,28.57142857142857
2377JZG,False,,0,237,42.857142857142854
2495KGR,True,,0,249,42.857142857142854
2495KGR,False,,0,249,42.857142857142854
2495KGR,False,,0,24,28.57142857142857
2495KGR,False,,0,249,42.857142857142854
2495KGR,False,,0,249,42.857142857142854
2495KGR,False,,0,249,42.857142857142854
2495KGR,False,,0,249,42.857142857142854
2495KGR,False,,0,249,42.857142857142854
2495KGR,False,,0,None,0.0
2495KGR,False,,0,249,42.857142857142854
2495KGR,False,,0,<autodib,0.0
2513KVH,True,,0,251,42.857142857142854
2533JST,True,,0,253,42.857142857142854
2547GMY,True,,0,254,42.857142857142854
2561KZX,False,,0,256,42.857142857142854
2724HCW,True,,0,27,28.57142857142857
2724HCW,False,,0,272,42.857142857142854
2724HCW,False,,0,27,28.57142857142857
2724HCW,False,,0,27,28.57142857142857
2724HCW,False,,0,272,42.857142857142854
2724HCW,False,,0,27,28.57142857142857
2724HCW,False,,0,70,0.0
2724HCW,False,,0,27,28.57142857142857
2724HCW,False,,0,BADUM,0.0
2724HCW,False,,0,272,42.857142857142854
2724HCW,False,,0,272,42.857142857142854
2753LBJ,True,,0,AM CARS A,0.0
2878KZX,False,,0,287,42.857142857142854
3002LZR,True,,0,None,0.0
3126MMN,True,,0,None,0.0
3129JRM,True,,0,31,28.57142857142857
3380DWG,True,,0,338,42.857142857142854
3448LXB,True,,0,344,42.857142857142854
3448LXB,False,,0,344,42.857142857142854
3448LXB,False,,0,348,28.57142857142857
3448LXB,False,,0,344,42.857142857142854
3448LXB,False,,0,34,28.57142857142857
3448LXB,False,,0,344,42.857142857142854
3448LXB,False,,0,34,28.57142857142857
3448LXB,False,,0,344,42.857142857142854
3448LXB,False,,0,None,0.0
3448LXB,False,,0,None,0.0
3448LXB,False,,0,344,42.857142857142854
3452GHC,True,,0,345,42.857142857142854
3478HWT,True,,0,347,42.857142857142854
3561CXR,True,,0,35,28.57142857142857
3561CXR,False,,0,356,42.857142857142854
3561CXR,False,,0,356,42.857142857142854
3561CXR,False,,0,35,28.57142857142857
3561CXR,False,,0,35,28.57142857142857
3561CXR,False,,0,None,0.0
3561CXR,False,,0,356,42.857142857142854
3561CXR,False,,0,356,42.857142857142854
3561CXR,False,,0,356,42.857142857142854
3561CXR,False,,0,356,42.857142857142854
3561CXR,False,,0,356,42.857142857142854
3637FRG,False,,0,363,42.857142857142854
3654MYH,True,,0,365,42.857142857142854
3824JLB,True,,0,30,14.285714285714285
3857JXJ,True,,0,38,28.57142857142857
4003GKC,True,,0,40,28.57142857142857
4003GKC,False,,0,400,42.857142857142854
4003GKC,False,,0,40,28.57142857142857
4003GKC,False,,0,400,42.857142857142854
4003GKC,False,,0,400,42.857142857142854
4003GKC,False,,0,400,42.857142857142854
4003GKC,False,,0,40,28.57142857142857
4003GKC,False,,0,400,42.857142857142854
4003GKC,False,,0,DILUCARS,0.0
4003GKC,False,,0,400,42.857142857142854
4003GKC,False,,0,40,28.57142857142857
4022LXD,True,,0,None,0.0
4037KMN,True,,0,None,0.0
