text,original,tess,tess_match,smol,smol_match
2377JZG,True,6ZJ773E2,14.285714285714285,,0
2377JZG,False,6ZJ773E2,14.285714285714285,,0
2377JZG,False,6ZJ773E2,14.285714285714285,,0
2377JZG,False,None,0.0,,0
2377JZG,False,6ZJ7732,14.285714285714285,,0
2377JZG,False,UET1IZC1JAU7U7II3UL7U144EYU41III1IIIIII,14.285714285714285,,0
2377JZG,False,6ZJ773E2,14.285714285714285,,0
2377JZG,False,GZJ773E2,14.285714285714285,,0
2377JZG,False,IDUEWAZ1IE1UJIN7734IJZIIQJ1,0.0,,0
2377JZG,False,6Z2JJ77,14.285714285714285,,0
2377JZG,False,None,0.0,,0
2495KGR,True,N2ANSKGR,0.0,,0
2495KGR,False,IILUN7LQE3LILHULLDEEF1LUNKI4TIEI1IYKIVKGIHYNELE,0.0,,0
2495KGR,False,QD4EDE4JLUDAEQDLEE,0.0,,0
2495KGR,False,I,0.0,,0
2495KGR,False,A24NSKGR,0.0,,0
2495KGR,False,2AQSKGR,57.14285714285714,,0
2495KGR,False,2ZQSKR,28.57142857142857,,0
2495KGR,False,2AQSKGR,57.14285714285714,,0
2495KGR,False,None,0.0,,0
2495KGR,False,None,0.0,,0
2495KGR,False,K2ELQSKGR,0.0,,0
2513KVH,True,IEKVH3D12,0.0,,0
2533JST,True,None,0.0,,0
2547GMY,True,G67AE25O0,0.0,,0
2561KZX,False,None,0.0,,0
2724HCW,True,272LHCD7,71.42857142857143,,0
2724HCW,False,VNFCWL21LL1U,0.0,,0
2724HCW,False,3Q1EDSV15EAEEWEEE3EEKEAEE5EEE5ETEE4DEEWAEEEE5E,0.0,,0
2724HCW,False,S527D2LHCNE,14.285714285714285,,0
2724HCW,False,QE7LQ4HCL,0.0,,0
2724HCW,False,OIIIIEN2L72IKCVNMDI4XIIIIINIIYI5N,0.0,,0
2724HCW,False,LKSE424EEEE4EEPLEEL1U4511SEL11EEEEZ41C4EE5EE7EEAKEAJEEEVEEJEDEE0EDLSEEESE4PPE4EE1EEE1EE1EE7DEELE3KE0EE3EIE9EEQYEEE3QLIEEI5LEXN1EK1PE5EE4EESVP5EEEN3EAELD,0.0,,0
2724HCW,False,272AHCHJ,71.42857142857143,,0
2724HCW,False,7E6F41EKEEE4MEKEE0K3D44EENEE4P2EE41DEE4EELLDDE1NEEEE3DEEE43N4DEEQ5V29YE1EJF5EEDSE1EWE7EEEXETF,0.0,,0
2724HCW,False,272LHCD,71.42857142857143,,0
2724HCW,False,NYLNYEL3HP21AMQLEAI,0.0,,0
2753LBJ,True,7253LBJP,71.42857142857143,,0
2878KZX,False,XZKI7882,0.0,,0
3002LZR,True,3002LZR,100.0,,0
3126MMN,True,3002LZR,100.0,,0
3129JRM,True,None,0.0,,0
3380DWG,True,H3380D,14.285714285714285,,0
3448LXB,True,BXL84W43,14.285714285714285,,0
3448LXB,False,BXL8LLE3,28.57142857142857,,0
3448LXB,False,A7A3ZZ48,0.0,,0
3448LXB,False,BXL84E43,14.285714285714285,,0
3448LXB,False,L8LL3I,0.0,,0
3448LXB,False,XL844A3,0.0,,0
3448LXB,False,XL844N3,0.0,,0
3448LXB,False,ZDZ748ZM,0.0,,0
3448LXB,False,BXL8AJA3,14.285714285714285,,0
3448LXB,False,BYL8,14.285714285714285,,0
3448LXB,False,BXL8LLI3,28.57142857142857,,0
3452GHC,True,CHGQ25A314N,0.0,,0
3478HWT,True,HL71D783,14.285714285714285,,0
3561CXR,True,1,0.0,,0
3561CXR,False,1,0.0,,0
3561CXR,False,1,0.0,,0
3561CXR,False,1,0.0,,0
3561CXR,False,None,0.0,,0
3561CXR,False,NLWZIC11I,0.0,,0
3561CXR,False,D1,0.0,,0
3561CXR,False,KEXEEEEK1PE5AAEE134EL2LEEEA1Q4L4X5EDELEJEEYMET1KEEEJEEHEEL3KEE1IL34EJEELEE144ES4EAES1E1EZEV7KEEETE434EZEKELED7EDIEE4E3YKLEEEJAKECCDWLEEESEVEELEYY1EZEDLYFLELJ4EESA3ENEX3EEEE7EEELNEEEP5NEELEES4EZEEEJE93EEEDYLNA,0.0,,0
3561CXR,False,IE404DFDLNLE1DEEUEODP14S,0.0,,0
3561CXR,False,1,0.0,,0
3561CXR,False,LEE13P4EENEEE5E4EELED74EE4D4EK0ESEXDKEEEXE4Q5YEDEE7AEL35EAEE5A7E5EE4JAEDEFYEEDE11E9EE1EEVSEEP5DZEEEEEAE0EL9EEEDEEEFDEK21EEEEEE3LEE4EEEEEE5EEQKEEVEE1EEEEEI9DEFAE2E0EDEES17NE1VLEELQFEESARX41EE0AEED2EELELE424EEEEEEDEAEDEOEEE55EEYEEEAPSEDEE5EE4E41EEEEEEE1EV4ENEAA,14.285714285714285,,0
3637FRG,False,3637FRG,100.0,,0
3654MYH,True,None,0.0,,0
3824JLB,True,LLG2J3,14.285714285714285,,0
3857JXJ,True,None,0.0,,0
4003GKC,True,C0K3GLQ0,42.857142857142854,,0
4003GKC,False,41PEDKCEEE7AQEEV,42.857142857142854,,0
4003GKC,False,CAA,0.0,,0
