frame,tipo_objeto,confianza,track_id,x1,y1,x2,y2,plate,plate_conf,mx1,my1,mx2,my2
1,bus,0.9357240796089172,1,1402,52,1918,476,No,,,,,
1,car,0.8438279032707214,2,1321,312,1398,371,No,,,,,
1,car,0.4911525249481201,3,1231,313,1279,343,No,,,,,
1,car,0.3493152856826782,4,1281,318,1320,343,No,,,,,
1,car,0.29699820280075073,5,1274,315,1312,343,No,,,,,
2,bus,0.9328942894935608,1,1402,56,1918,471,'32,0.5798004269599915,482,354,516,370
2,car,0.8148323893547058,2,1321,312,1397,371,No,,,,,
2,car,0.47794675827026367,3,1231,313,1279,342,No,,,,,
2,car,0.32680580019950867,4,1281,318,1320,343,No,,,,,
2,car,0.2858527600765228,5,1273,315,1309,343,No,,,,,
3,bus,0.9363406896591187,1,1395,63,1918,467,None,0.4293140769004822,476,348,523,358
3,car,0.8184861540794373,2,1320,312,1395,371,No,,,,,
3,car,0.44405239820480347,3,1230,313,1278,342,No,,,,,
3,car,0.3158470392227173,4,1281,318,1320,343,No,,,,,
3,car,0.2732526957988739,5,1273,315,1311,342,No,,,,,
4,bus,0.899508535861969,1,1389,67,1918,466,32,0.4562353491783142,463,340,528,357
4,car,0.8380138874053955,2,1318,312,1395,371,No,,,,,
4,car,0.48595085740089417,3,1230,314,1278,342,No,,,,,
4,car,0.28771543502807617,4,1281,317,1319,343,No,,,,,
4,car,0.27643465995788574,5,1273,315,1311,343,No,,,,,
5,bus,0.9297316670417786,1,1390,72,1918,464,325,0.29292023181915283,447,335,512,349
5,car,0.8167463541030884,2,1316,312,1394,371,No,,,,,
5,car,0.45237410068511963,3,1232,314,1279,343,No,,,,,
5,car,0.2706019878387451,4,1282,317,1319,343,No,,,,,
5,car,0.2477390617132187,5,1274,315,1308,343,No,,,,,
6,bus,0.9345744252204895,1,1392,76,1918,462,No,,,,,
6,car,0.8074600696563721,2,1316,312,1392,370,No,,,,,
6,car,0.4080609381198883,3,1232,313,1278,342,No,,,,,
6,car,0.24578584730625153,4,1283,317,1319,343,No,,,,,
6,car,0.23066599667072296,5,1274,315,1306,343,No,,,,,
7,bus,0.9344170689582825,1,1391,79,1918,461,325,0.2728956639766693,418,325,479,339
7,car,0.7958812713623047,2,1316,312,1390,370,No,,,,,
7,car,0.45234736800193787,3,1232,314,1277,343,No,,,,,
7,car,0.24807369709014893,4,1284,317,1320,343,No,,,,,
7,car,0.24070729315280914,5,1273,315,1305,343,No,,,,,
8,bus,0.9351821541786194,1,1388,84,1918,458,'22,0.7534381151199341,405,319,466,332
8,car,0.7872523069381714,2,1314,312,1389,369,No,,,,,
8,car,0.4359671473503113,3,1230,314,1275,343,No,,,,,
