frame,tipo_objeto,confianza,track_id,x1,y1,x2,y2,plate,plate_conf,mx1,my1,mx2,my2
1,bus,0.9357240796089172,1,1402,52,1918,476,No,,,,,
1,car,0.8438276648521423,2,1321,312,1398,371,No,,,,,
1,car,0.4911515414714813,3,1231,313,1279,343,No,,,,,
1,car,0.3493148684501648,4,1281,318,1320,343,No,,,,,
1,car,0.2969982326030731,5,1274,315,1312,343,No,,,,,
1,bus,0.9363408088684082,1,1394,63,1918,468,A34,0.37798434495925903,477,348,524,358
1,car,0.8184859156608582,2,1320,312,1395,371,No,,,,,
1,car,0.44405263662338257,3,1230,313,1278,342,No,,,,,
1,car,0.315847247838974,4,1281,318,1320,343,No,,,,,
1,car,0.27325212955474854,5,1273,315,1311,342,No,,,,,
2,bus,0.899508535861969,1,1389,66,1918,467,4,0.27298519015312195,463,341,529,357
2,car,0.8380140662193298,2,1318,312,1395,371,No,,,,,
2,car,0.4859501123428345,3,1230,314,1278,342,No,,,,,
2,car,0.2877148687839508,4,1281,317,1319,343,No,,,,,
2,car,0.2764342725276947,5,1273,315,1311,343,No,,,,,
3,bus,0.9297316670417786,1,1390,72,1918,464,None,0.292919397354126,447,335,512,349
3,car,0.8167461156845093,2,1316,312,1394,371,No,,,,,
3,car,0.4523734152317047,3,1232,314,1279,343,No,,,,,
3,car,0.2706018090248108,4,1282,317,1319,343,No,,,,,
3,car,0.24773940443992615,5,1274,315,1308,343,No,,,,,
4,bus,0.9345743060112,1,1393,76,1918,462,None,0.42644381523132324,430,329,492,343
4,car,0.8074600696563721,2,1316,312,1392,370,No,,,,,
4,car,0.40806159377098083,3,1232,313,1278,343,No,,,,,
4,car,0.24578584730625153,4,1283,317,1319,343,No,,,,,
4,car,0.2306656390428543,5,1274,315,1306,343,No,,,,,
5,bus,0.9344173073768616,1,1392,79,1918,461,None,0.2681869864463806,416,325,478,338
5,car,0.795881450176239,2,1316,312,1390,370,No,,,,,
5,car,0.45234763622283936,3,1232,314,1277,343,No,,,,,
5,car,0.24807333946228027,4,1284,317,1320,343,No,,,,,
5,car,0.240707129240036,5,1273,315,1305,343,No,,,,,
6,bus,0.9351823329925537,1,1389,84,1918,458,A,0.7514931559562683,405,318,465,331
6,car,0.7872524857521057,2,1314,312,1389,369,No,,,,,
6,car,0.4359681010246277,3,1230,314,1275,343,No,,,,,
6,car,0.24059821665287018,4,1284,317,1319,343,No,,,,,
6,car,0.23361432552337646,5,1272,315,1307,343,No,,,,,
7,bus,0.9371791481971741,1,1386,88,1918,457,3,0.5426129698753357,395,312,454,325
7,car,0.7815161347389221,2,1313,312,1387,368,No,,,,,
7,car,0.4243621230125427,3,1229,315,1274,343,No,,,,,
7,car,0.23192991316318512,4,1284,318,1319,343,No,,,,,
7,car,0.22785921394824982,5,1272,316,1310,343,No,,,,,
8,bus,0.9405054450035095,1,1383,92,1918,457,FK,0.47578179836273193,386,307,442,319
8,car,0.8050705194473267,2,1311,312,1386,368,No,,,,,
8,car,0.4193550944328308,3,1229,315,1272,343,No,,,,,
8,car,0.2583886682987213,4,1285,318,1319,345,No,,,,,
8,car,0.22232462465763092,5,1272,316,1312,343,No,,,,,
9,bus,0.9372484683990479,1,1382,96,1918,456,None,0.3853085935115814,376,302,432,316
9,car,0.8014796376228333,2,1310,312,1385,367,No,,,,,
9,car,0.4036637246608734,3,1228,315,1270,343,No,,,,,
9,car,0.2605757415294647,4,1289,318,1319,346,No,,,,,
9,car,0.21103262901306152,5,1271,316,1312,343,No,,,,,
10,bus,0.9273743033409119,1,1382,97,1918,455,None,0.335149884223938,365,301,420,314
10,car,0.7826129794120789,2,1309,312,1384,368,No,,,,,
10,car,0.4092811942100525,3,1228,315,1269,343,No,,,,,
