epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.79616,1.44777,2.62494,1.2234,0.77392,0.63816,0.70405,0.36147,1.41405,2.00711,1.04203,0.000661157,0.000661157,0.000661157
2,18.4082,1.41351,1.65759,1.1704,0.72046,0.625,0.70602,0.43302,1.3458,1.65649,1.06684,0.00129496,0.00129496,0.00129496
3,26.945,1.40237,1.64005,1.16855,0.66444,0.73026,0.64342,0.36413,1.39994,1.99701,1.17065,0.00189576,0.00189576,0.00189576
4,35.1306,1.3208,1.48157,1.13825,0.64029,0.70264,0.59121,0.33807,1.39024,1.57962,1.07912,0.0018515,0.0018515,0.0018515
5,43.4108,1.33602,1.44086,1.12336,0.84725,0.72368,0.80382,0.49153,1.3503,1.38287,1.10938,0.001802,0.001802,0.001802
6,52.0547,1.29233,1.33903,1.13246,0.88989,0.79753,0.84841,0.57061,1.27506,1.25112,1.03858,0.0017525,0.0017525,0.0017525
7,60.3573,1.2615,1.24623,1.10249,0.84621,0.82895,0.83362,0.48231,1.35985,1.16809,1.06906,0.001703,0.001703,0.001703
8,68.6438,1.24675,1.19266,1.09485,0.81204,0.78289,0.78292,0.50961,1.16152,1.24781,0.99497,0.0016535,0.0016535,0.0016535
9,76.9627,1.12738,1.07929,1.06446,0.90381,0.78947,0.79662,0.51844,1.1237,1.09845,1.00365,0.001604,0.001604,0.001604
10,85.06,1.12321,1.01089,1.04993,0.88147,0.83553,0.82407,0.53576,1.13515,1.02965,0.97995,0.0015545,0.0015545,0.0015545
11,93.1624,1.16086,1.00496,1.0607,0.8166,0.82237,0.77519,0.50709,1.18547,1.02454,0.97218,0.001505,0.001505,0.001505
12,101.634,1.09107,0.96027,1.03846,0.94111,0.82237,0.86846,0.59574,1.06064,0.86419,0.92801,0.0014555,0.0014555,0.0014555
13,110.035,1.13847,0.93098,1.03819,0.88388,0.85134,0.81203,0.52691,1.18844,1.16693,0.9227,0.001406,0.001406,0.001406
